Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Region,Population
Hubei,Mainland China,2/7/2020 14:03,22112,618,867,Hubei,
Guangdong,Mainland China,2/7/2020 10:13,1034,1,88,Guangdong,
Zhejiang,Mainland China,2/7/2020 11:33,1006,0,123,Zhejiang,
Henan,Mainland China,2/7/2020 14:03,914,3,86,Henan,
Hunan,Mainland China,2/7/2020 11:33,772,0,112,Hunan,
Anhui,Mainland China,2/7/2020 5:13,665,0,47,Anhui,
Jiangxi,Mainland China,2/7/2020 1:23,661,0,45,Jiangxi,
Chongqing,Mainland China,2/7/2020 12:03,415,2,31,Chongqing,
Jiangsu,Mainland China,2/7/2020 14:03,408,0,43,Jiangsu,
Shandong,Mainland China,2/7/2020 11:33,386,0,37,Shandong,
Sichuan,Mainland China,2/7/2020 8:23,344,1,42,Sichuan,
Beijing,Mainland China,2/7/2020 3:23,297,1,33,Beijing,
Heilongjiang,Mainland China,2/7/2020 7:43,277,3,12,Heilongjiang,
Shanghai,Mainland China,2/7/2020 6:14,277,1,30,Shanghai,
Fujian,Mainland China,2/7/2020 13:23,224,0,20,Fujian,
Shaanxi,Mainland China,2/7/2020 8:23,184,0,17,Shaanxi,
Guangxi,Mainland China,2/7/2020 0:33,172,0,17,Guangxi,
Hebei,Mainland China,2/7/2020 12:03,172,1,22,Hebei,
Yunnan,Mainland China,2/7/2020 23:23,138,0,12,Yunnan,
Hainan,Mainland China,2/7/2020 12:33,117,2,10,Hainan,
Liaoning,Mainland China,2/7/2020 15:33,99,0,7,Liaoning,
Shanxi,Mainland China,2/7/2020 12:33,96,0,15,Shanxi,
Guizhou,Mainland China,2/7/2020 11:13,81,1,6,Guizhou,
Tianjin,Mainland China,2/7/2020 5:43,81,1,2,Tianjin,
Gansu,Mainland China,2/7/2020 2:33,67,0,9,Gansu,
Jilin,Mainland China,2/7/2020 0:43,65,1,4,Jilin,
Ningxia,Mainland China,2/7/2020 11:13,43,0,5,Ningxia,
Xinjiang,Mainland China,2/7/2020 1:43,39,0,0,Xinjiang,
,Singapore,2/7/2020 3:03,30,0,0,Singapore,5638676
Hong Kong,Hong Kong,2/7/2020 11:53,25,1,0,Hong Kong,
,Japan,2/7/2020 4:13,25,0,1,Japan,126529100
,Thailand,2/4/2020 15:33,25,0,5,Thailand,69428524
,South Korea,2/7/2020 3:03,24,0,1,South Korea,51635256
Qinghai,Mainland China,2/6/2020 2:13,18,0,3,Qinghai,
Taiwan,Taiwan,2/6/2020 15:03,16,0,1,Taiwan,
,Germany,2/7/2020 16:33,13,0,0,Germany,82927922
,Malaysia,2/7/2020 9:13,12,0,1,Malaysia,31528585
Macau,Macau,2/6/2020 14:23,10,0,1,Macau,
,Vietnam,2/6/2020 1:13,10,0,1,Vietnam,95540395
,France,2/1/2020 1:52,6,0,0,France,66987244
Queensland,Australia,2/7/2020 1:03,5,0,0,Queensland,
,United Arab Emirates,2/2/2020 5:43,5,0,0,United Arab Emirates,9630959
New South Wales,Australia,2/6/2020 3:13,4,0,2,New South Wales,
Victoria,Australia,2/1/2020 18:12,4,0,0,Victoria,
British Columbia,Canada,2/7/2020 5:43,4,0,0,British Columbia,
,India,2/3/2020 21:43,3,0,0,India,1352617328
,Italy,2/7/2020 17:53,3,0,0,Italy,60431283
,Philippines,2/7/2020 16:43,3,1,0,Philippines,106651922
,UK,2/7/2020 18:33,3,0,0,UK,144478050
South Australia,Australia,2/2/2020 22:33,2,0,0,South Australia,
"Toronto, ON",Canada,2/4/2020 0:13,2,0,0,"Toronto, ON",
,Russia,1/31/2020 16:13,2,0,0,Russia,66488991
"Chicago, IL",US,2/1/2020 19:43,2,0,0,"Chicago, IL",
"San Benito, CA",US,2/3/2020 3:53,2,0,0,"San Benito, CA",
"Santa Clara, CA",US,2/3/2020 0:43,2,0,0,"Santa Clara, CA",
,Belgium,2/4/2020 15:43,1,0,0,Belgium,11422068
,Cambodia,1/31/2020 8:15,1,0,0,Cambodia,16249798
"London, ON",Canada,2/4/2020 0:03,1,0,0,"London, ON",
,Finland,1/31/2020 8:15,1,0,0,Finland,5518050
Tibet,Mainland China,2/1/2020 1:52,1,0,0,Tibet,
,Nepal,1/31/2020 8:15,1,0,0,Nepal,28087871
,Spain,2/1/2020 23:43,1,0,0,Spain,46723749
,Sri Lanka,1/31/2020 8:15,1,0,0,Sri Lanka,21670000
,Sweden,2/1/2020 2:13,1,0,0,Sweden,10183175
"Boston, MA",US,2/1/2020 19:43,1,0,0,"Boston, MA",
"Los Angeles, CA",US,2/1/2020 19:53,1,0,0,"Los Angeles, CA",
"Madison, WI",US,2/5/2020 21:53,1,0,0,"Madison, WI",
"Orange, CA",US,2/1/2020 19:53,1,0,0,"Orange, CA",
"Seattle, WA",US,2/1/2020 19:43,1,0,0,"Seattle, WA",
"Tempe, AZ",US,2/1/2020 19:43,1,0,,"Tempe, AZ",
