Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2/7/2020 14:03,22112,618,867
Guangdong,Mainland China,2/7/2020 10:13,1034,1,88
Zhejiang,Mainland China,2/7/2020 11:33,1006,0,123
Henan,Mainland China,2/7/2020 14:03,914,3,86
Hunan,Mainland China,2/7/2020 11:33,772,0,112
Anhui,Mainland China,2/7/2020 5:13,665,0,47
Jiangxi,Mainland China,2/7/2020 1:23,661,0,45
Chongqing,Mainland China,2/7/2020 12:03,415,2,31
Jiangsu,Mainland China,2/7/2020 14:03,408,0,43
Shandong,Mainland China,2/7/2020 11:33,386,0,37
Sichuan,Mainland China,2/7/2020 8:23,344,1,42
Beijing,Mainland China,2/7/2020 3:23,297,1,33
Heilongjiang,Mainland China,2/7/2020 7:43,277,3,12
Shanghai,Mainland China,2/7/2020 6:14,277,1,30
Fujian,Mainland China,2/7/2020 13:23,224,0,20
Shaanxi,Mainland China,2/7/2020 8:23,184,0,17
Guangxi,Mainland China,2/7/2020 0:33,172,0,17
Hebei,Mainland China,2/7/2020 12:03,172,1,22
Yunnan,Mainland China,2/7/2020 23:23,138,0,12
Hainan,Mainland China,2/7/2020 12:33,117,2,10
Liaoning,Mainland China,2/7/2020 15:33,99,0,7
Shanxi,Mainland China,2/7/2020 12:33,96,0,15
Guizhou,Mainland China,2/7/2020 11:13,81,1,6
Tianjin,Mainland China,2/7/2020 5:43,81,1,2
Gansu,Mainland China,2/7/2020 2:33,67,0,9
Jilin,Mainland China,2/7/2020 0:43,65,1,4
Cruise Ship,Others,2/7/2020 16:33,61,0,0
Inner Mongolia,Mainland China,2/7/2020 11:13,50,0,5
Ningxia,Mainland China,2/7/2020 11:13,43,0,5
Xinjiang,Mainland China,2/7/2020 1:43,39,0,0
,Singapore,2/7/2020 3:03,30,0,0
Hong Kong,Hong Kong,2/7/2020 11:53,25,1,0
,Japan,2/7/2020 4:13,25,0,1
,Thailand,2/4/2020 15:33,25,0,5
,South Korea,2/7/2020 3:03,24,0,1
Qinghai,Mainland China,2/6/2020 2:13,18,0,3
Taiwan,Taiwan,2/6/2020 15:03,16,0,1
,Germany,2/7/2020 16:33,13,0,0
,Malaysia,2/7/2020 9:13,12,0,1
Macau,Macau,2/6/2020 14:23,10,0,1
,Vietnam,2/6/2020 1:13,10,0,1
,France,2/1/2020 1:52,6,0,0
Queensland,Australia,2/7/2020 1:03,5,0,0
,United Arab Emirates,2/2/2020 5:43,5,0,0
New South Wales,Australia,2/6/2020 3:13,4,0,2
Victoria,Australia,2/1/2020 18:12,4,0,0
British Columbia,Canada,2/7/2020 5:43,4,0,0
,India,2/3/2020 21:43,3,0,0
,Italy,2/7/2020 17:53,3,0,0
,Philippines,2/7/2020 16:43,3,1,0
,UK,2/7/2020 18:33,3,0,0
South Australia,Australia,2/2/2020 22:33,2,0,0
"Toronto, ON",Canada,2/4/2020 0:13,2,0,0
,Russia,1/31/2020 16:13,2,0,0
"Chicago, IL",US,2/1/2020 19:43,2,0,0
"San Benito, CA",US,2/3/2020 3:53,2,0,0
"Santa Clara, CA",US,2/3/2020 0:43,2,0,0
,Belgium,2/4/2020 15:43,1,0,0
,Cambodia,1/31/2020 8:15,1,0,0
"London, ON",Canada,2/4/2020 0:03,1,0,0
,Finland,1/31/2020 8:15,1,0,0
Tibet,Mainland China,2/1/2020 1:52,1,0,0
,Nepal,1/31/2020 8:15,1,0,0
,Spain,2/1/2020 23:43,1,0,0
,Sri Lanka,1/31/2020 8:15,1,0,0
,Sweden,2/1/2020 2:13,1,0,0
"Boston, MA",US,2/1/2020 19:43,1,0,0
"Los Angeles, CA",US,2/1/2020 19:53,1,0,0
"Madison, WI",US,2/5/2020 21:53,1,0,0
"Orange, CA",US,2/1/2020 19:53,1,0,0
"Seattle, WA",US,2/1/2020 19:43,1,0,0
"Tempe, AZ",US,2/1/2020 19:43,1,0,
